REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",JUNE,% CHANGE,APRIL -JUNE,% CHANGE,JUNE,% CHANGE,APRIL -JUNE,% CHANGE,JUNE,% CHANGE,APRIL -JUNE,% CHANGE,,,,,,
WESTERN,24.62,25.47,24.75,25.68,26.12,26.84,26.05,26.95,25.84,26.58,25.80,26.70
SOUTHERN,41.29,41.60,41.19,41.31,29.73,31.18,29.53,31.12,31.92,33.20,31.76,33.12
NORTHERN,28.46,28.24,28.50,28.14,28.40,27.96,28.31,27.93,28.41,28.01,28.35,27.97
NORTH EAST,0.09,0.12,0.10,0.11,4.04,3.73,4.10,3.76,3.29,3.03,3.34,3.05
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.19,3.85,4.16,3.90,12.19,10.70,12.35,10.50,10.51,9.15,10.59,9.00
WESTERN,25.17,25.55,25.57,25.98,26.96,28.01,27.08,28.55,26.58,27.45,26.75,27.96
SOUTHERN,40.15,41.41,41.33,42.37,27.82,27.57,27.66,27.88,30.41,30.71,30.59,31.18
NORTHERN,30.45,29.15,28.91,27.71,29.59,30.48,29.43,29.97,29.77,30.18,29.32,29.45
NORTH EAST,0.04,0.05,0.04,0.04,3.44,3.24,3.48,3.11,2.72,2.51,2.74,2.41
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,2.83,2.88,2.97,2.85,11.46,11.53,11.71,11.90,5.91,6.06,6.06,6.20
WESTERN,31.47,30.44,31.71,30.50,31.11,29.97,30.85,29.88,31.34,30.27,31.40,30.27
SOUTHERN,34.73,35.88,33.82,35.57,26.67,26.70,26.10,26.32,31.85,32.50,31.10,32.15
NORTHERN,30.97,30.80,31.50,31.08,28.27,29.85,28.39,29.49,30.01,30.45,30.40,30.49
NORTH EAST,0.00,0.00,0.00,0.00,2.49,1.95,2.95,2.41,0.89,0.72,1.04,0.89
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
