REGIONS,INTERNATIONAL,DOMESTIC,TOTAL,,,,,,,,,,,,,,,
"",AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,AUGUST,% CHANGE,APRIL -AUGUST,% CHANGE,,,,,,
WESTERN,24.35,24.75,24.56,25.45,26.55,27.43,26.25,27.07,26.12,26.90,25.92,26.75
SOUTHERN,41.61,41.25,41.35,41.28,29.45,31.30,29.57,31.21,31.82,33.25,31.83,33.18
NORTHERN,28.47,28.86,28.53,28.37,28.56,27.23,28.35,27.74,28.54,27.55,28.39,27.87
NORTH EAST,0.10,0.20,0.12,0.13,3.80,3.84,4.00,3.77,3.08,3.12,3.26,3.05
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PASSENGERS (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,4.14,3.86,4.13,3.83,12.11,10.16,12.14,10.41,10.36,8.72,10.41,8.92
WESTERN,24.19,24.72,25.08,25.64,27.41,28.91,27.13,28.57,26.70,27.95,26.69,27.90
SOUTHERN,42.69,42.51,41.74,42.51,28.04,29.13,27.90,28.30,31.26,32.19,30.90,31.53
NORTHERN,28.94,28.77,28.99,27.96,28.90,28.80,29.29,29.62,28.91,28.79,29.23,29.24
NORTH EAST,0.03,0.14,0.05,0.06,3.54,3.00,3.53,3.11,2.77,2.35,2.78,2.41
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FREIGHT (SHARE IN PER CENTAGE),,,,,,,,,,,,
EASTERN,3.03,3.46,2.97,3.01,12.44,11.57,11.72,11.74,6.44,6.58,6.10,6.31
WESTERN,30.17,29.65,31.14,29.98,29.55,29.21,30.61,29.73,29.95,29.48,30.95,29.89
SOUTHERN,35.97,36.68,34.83,36.23,26.16,27.26,26.32,26.65,32.42,33.05,31.79,32.61
NORTHERN,30.82,30.21,31.05,30.78,28.48,29.20,28.43,29.33,29.98,29.82,30.11,30.23
NORTH EAST,0.00,0.00,0.00,0.00,3.36,2.77,2.91,2.54,1.21,1.07,1.04,0.96
TOTAL,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
